title,originalTitle,description,genre
Vivaldi,," Film przedstawia wczesne życie&nbsp;słynnego Antonio Vivaldiego,&nbsp;który jako młody ksiądz zdecydował się zostać nauczycielem muzyki w szkole dla nieślubnego dziecka luksusowej... ",Biograficzny / Dramat / Muzyczny
Pole walki,The Hunting Ground,"Dokument porusza problem tuszowania gwałtów, których ofiarami są studentki amerykańskich kampusów uniwersyteckich. ",Dokumentalny
Yona,,"Historia dziewczyny ze wsi, która w środowisku zdominowanym przez mężczyzn, mimo trudności i załamania nerwowego, staje się legendarną poetką.",Biograficzny
Frankie i Alice,Frankie &amp; Alice," ""Frankie i Alice"" to poruszający dramat psychologiczny na podstawie prawdziwej historii Frankie Murdoch (Halle Berry), która została ""skrzywdzona przez społeczność"".... ",Biograficzny / Dramat / Psychologiczny
Bagno,Mýrin," W piwnicy pewnego domu zostają znalezione zwłoki zamordowanego starszego mężczyzny. Zostaje wszczęte śledztwo, jednak inspektor Erlendur nie posiada żadnych wskazówek,... ",Kryminał / Thriller
The Crow,,"Erick i jego dziewczyna zostają zamordowani. Rok później mężczyzna powraca z zaświatów, aby przy pomocy kruka pomścić śmierć ukochanej.",Fantasy / Thriller
Schumacher,,Ekskluzywne wywiady i&nbsp;archiwalne materiały filmowe wykorzystane w&nbsp;tym filmie składają się na&nbsp;intymny portret siedmiokrotnego mistrza Formuły&nbsp;1 Michaela Schumachera.,Biograficzny / Dokumentalny / Sportowy
Nienasycone,Wir sind die Nacht,"Zbuntowana nastolatka, Lena, zostaje przemieniona w wampira. Z czasem odkrywa, że jej nowe, nocne życie nie jest takie cudowne, jak się początkowo wydawało.",Horror / Akcja
Una,," Unę poznajemy, gdy w toalecie klubu uprawia beznamiętny seks z przypadkowym mężczyzną. Kiedy nad ranem wraca do domu na angielskich przedmieściach, w którym mieszka z... ",Melodramat / Psychologiczny
Upokorzenie,The Humbling,Życie pogrążonego w depresji aktora wywraca się do góry nogami pod wpływem związku z dużo młodszą kobietą.,Dramat / Komedia
Moja staruszka,My Old Lady,"Nowojorczyk udaje się do Paryża, by sprzedać odziedziczone po ojcu mieszkanie. Na miejscu zastaje jednak lokatorów. ",Dramat / Komedia
Najbardziej znienawidzona kobieta Ameryki,The Most Hated Woman in America,"Historia Madalyn Murray O'Hair, zdeklarowanej ateistki, począwszy od słynnych batalii sądowych aż po&nbsp;jej zuchwałe porwanie.",Dramat
Kot w butach: Ostatnie życzenie,Puss in Boots: The Last Wish,"Kot w Butach wyrusza w podróż, aby odnaleźć mityczne ""Ostatnie Życzenie"", dzięki któremu odzyska swoje dziewięć żyć.",Animacja
Tajemnicze wyprawy Jaspera Morello,The Mysterious Geographic Explorations of Jasper Morello," Bohaterem filmu jest nawigator na dziwnym, niepowtarzalnym statku. Jest to obywatel niezwykłego miasta, dotkniętego nieznaną epidemią dziesiątkującą mieszkańców. W... ",Sci-Fi / Krótkometrażowy / Animacja dla dorosłych
Piątek trzynastego VIII: Jason zdobywa Manhattan,Friday the 13th Part VIII: Jason Takes Manhattan,"Jason zostaje ożywiony przez wyładowania elektryczne, a następnie trafia na statek wycieczkowy płynący do Nowego Jorku.",Horror
Powrót Robin Hooda,Robin and Marian,"Podstarzały i zmęczony Robin Hood wraca z krucjaty, aby pomóc ubogim i zdobyć serce Marian. ",Melodramat / Przygodowy
Krupier,Croupier,Jack Manfred jest krupierem zafascynowanym hazardem. Z pracy w kasynie czerpie inspirację do napisania powieści. ,Dramat / Kryminał
Mapa dźwięków Tokio,Map of the Sounds of Tokyo,"Pracująca na targu rybnym Ryu zajmuje się również płatnymi zabójstwami. Gdy kobieta otrzymuje nowe zlecenie, jej poczynania są śledzone przez zakochanego w niej młodego dźwiękowca. ",Dramat / Thriller
Hiszpański romans,Rifkin's Festival,"Amerykańskie małżeństwo wybiera się na Festiwal Filmowy w San Sebastian, gdzie daje się ponieść magii wydarzenia i urokowi miasta.",Komedia rom.
Fresh,,Młoda dziewczyna próbuje przetrwać niezwykłe apetyty swojego nowego chłopaka.,Thriller
Konspiracja.com,Antitrust,Milo po dołączeniu do wielkiej firmy komputerowej odkrywa spisek na skalę światową.,Dramat / Thriller
Wspólna chata,Parental Guidance,"Trójka dzieciaków zostaje powierzona pod opiekę dziadkom, którzy stosują nieszablonowe metody wychowania.",Komedia
Kawaler,The Bachelor,"Jimmie dowiaduje się, że ślub jest konieczny, by mógł otrzymać spadek po dziadku. Mężczyzna zaczyna desperacko szukać kandydatki na żonę.",Komedia rom.
Egzorcyzmy Molly Hartley,The Exorcism of Molly Hartley,"W dniu swoich 24. urodzin Molly morduje dwie osoby, twierdząc, że opętał ją szatan. ",Horror
Ewa,,"Kiedy mąż Gizy traci pracę, kobieta postanawia zatrudnić się w klubie nocnym.",Dramat
Projekt Koliber,The Hummingbird Project,"W świecie, w którym jedna milisekunda przewagi warta jest miliony dolarów, dwoje młodych informatyków o ponadprzeciętnym IQ rzuca wyzwanie Wall Street i stawia nowojorską giełdę na głowie.",Thriller
Mój przyjaciel Marsjanin,My Favorite Martian,W pobliżu domu reportera telewizyjnego rozbija się UFO. Mężczyzna postanawia pomóc kosmicie.,Familijny / Komedia / Sci-Fi
Dziewczyna zawodowa,The Girlfriend Experience, Fabuła rozgrywa się na kilka tygodni przed wyborami prezydenckimi w USA w 2008 roku. Historia przedstawia 5 dni z życia Chelsea – ekskluzywnej call-girl z górnego... ,Dramat obyczajowy
Grind,,"Grupa amatorskich deskorolkarzy wyrusza w podróż po Ameryce, by zyskać sławę i rozgłos.",Komedia / Przygodowy / Sportowy
Obława,Takedown," Oparty na faktach film o Kevinie Mitnicku, jednym z najsłynniejszych włamywaczy komputerowych w historii USA. Kevin Mitnick (Skeet Ulrich) jest jednym z najzdolniejszych... ",Thriller / Akcja
Party Girl,,"Angelique, barmanka w średnim wieku, staje przed decyzją, czy w końcu się ustatkować. ",Dramat
Na zawsze,Always,"Pete ginie w katastrofie samolotu. Wkrótce powraca jako duch, by pomóc ukochanej, Dorindzie, rozpocząć nowe życie. ",Fantasy / Melodramat
Lokatorka,,"Rzekomy właściciel kamienicy rozpoczyna bezpardonową walkę, by pozbyć się lokatorów. Gdy jeden z nich tajemniczo znika, do akcji wkracza policja. ",Dramat / Sensacyjny
Eliminator,Outlaw,"Grupka nieznajomych postanawia się zjednoczyć, aby położyć kres przestępczości, z którą nie radzi sobie państwo. ",Kryminał / Akcja
Widmo,The Wraith,"W małym miasteczku pojawia się tajemniczy motocyklista, który rozpoczyna polowanie na miejscowych chuliganów. ",Akcja / Sci-Fi
Akeelah i jej nauczyciel,Akeelah and the Bee,Wyjątkowo zdolna Akeelah postanawia wziąć udział w Narodowym Konkursie Ortograficznym.,Dramat / Familijny
"Człowiek, który pokochał Yngvego",Mannen som elsket Yngve,"Zbuntowany siedemnastolatek zakochuje się w chłopaku, który jest jego kompletnym przeciwieństwem. ",Dramat obyczajowy
Horror Draculi,Dracula," Po tym jak Jonathan Harker atakuje Draculę w jego zamku władca ciemności ucieka do najbliższego miasta gdzie planuje zemścić się na rodzinie Harkera. Jedynym, który może... ",Horror
Tylko instynkt,Once Were Warriors,"Matka wielodzietnej rodziny mieszkającej na przedmieściach Auckland próbuje poradzić sobie z synem, który decyduje się dołączyć do gangu młodych Maorysów.",Dramat
Cronos,,"Sędziwy antykwariusz wchodzi w posiadanie wynalazku, który umożliwia życie wieczne. ",Dramat / Horror
"Biały myśliwy, czarne serce","White Hunter, Black Heart","Reżyser udaje się do Afryki, aby nakręcić film. Na miejscu oddaje się polowaniom, co wywołuje nieporozumienia z resztą ekipy.",Dramat / Przygodowy
Pięć palców,Five Fingers,Pianista Martijn zostaje porwany przez bezwzględnego Ahmeta.,Dramat / Thriller
Pierwsza liga,Major League,"Właścicielka drużyny baseballowej Cleveland Indians chce doprowadzić swój zespół do klęski w rozgrywkach ligowych. By tego dokonać, angażuje najbardziej nieudolnych graczy jakich udaje jej się znaleźć.",Komedia / Sportowy
Wtargnięcie,Intrusion,"Pewne małżeństwo przeprowadza się do małego miasteczka. Włamanie do domu wpędza żonę w traumę i skłania ją do podejrzeń, że otaczające ją osoby skrywają pewne sekrety.",Thriller
Duchy Mississippi,Ghosts of Mississippi,"Wdowa po zamordowanym obrońcy praw człowieka, Medgarze Eversie, wraz z prokuratorem okręgowym podejmuje walkę o wymierzenie sprawiedliwości sprawcy zabójstwa. ",Dramat
Wakacje w domu,Home for the Holidays,Claudia udaje się do rodziców na Święto Dziękczynienia. Spotkania z najbliższymi rodzą szereg nieoczekiwanych sytuacji. ,Dramat / Komedia / Romans
Sakasama no Patema,,"Patema jest księżniczką podziemnego świata, która z zamiłowaniem odkrywa nowe tunele. Ciekawość prowadzi ją do zakazanej strefy.",Sci-Fi / Anime
Tysiąc akrów,A Thousand Acres,"Stary farmer postanawia podzielić swój majątek pomiędzy trzy córki. Doprowadza to do kłótni, w wyniku której na jaw wychodzą długo skrywane urazy i tajemnice. ",Dramat / Obyczajowy
Wiosła w dłoń,Without a Paddle," Opowieść o trzech mieszczuchach, którzy wyruszają na spływ kajakowy, w którym główną atrakcją jest poszukiwanie skarbu wartego 200 tys. dolarów. Mężczyźni oczywiście... ",Komedia / Przygodowy
Ludzkość,L'Humanité," Film zdobył nagrodę na festiwalu filmowym w Cannes w 1999 roku. Akcja ""L'Humanite"" rozgrywa sie w Bailleul, w bliżej nieokreslonym miejscu we Flandrii. Główny bohater -... ",Dramat obyczajowy / Psychologiczny
Płotka,Little Fish,"Była narkomanka próbuje naprawić swoje życie, zaczynając od rozkręcenia własnego biznesu.",Dramat / Thriller
Wojna Zimowa,Talvisota,"Przełom roku 1939 i 1940, wojska Finlandii odpierają ataki Armii Czerwonej. Stawką wojny jest jej suwerenność.",Dramat / Wojenny
Krokodyl Dundee II,'Crocodile' Dundee II," Dalsza część przygód ""Krokodyla"" (Paul Hogan) i Sue (Linda Kozlowski). Tym razem Mike jest już w Nowym Jorku, zupełnie obcym dla siebie miejscu. Z dala od cywilizacji... ",Komedia / Przygodowy
400 Days,,"Czworo astronautów pod koniec długiej symulacji misji kosmicznej zaczyna podejrzewać, że coś jest nie w porządku.",Thriller / Sci-Fi
Światło latarni,Safelight," Dramat o dojrzewaniu rozgrywający się w latach 70. XX wieku. Charles (Evan Peters), młody chłopak z porażeniem mózgowym, opiekuje się swoim umierającym ojcem. Aby zarobić... ",Dramat
Beavis i Butt-Head zaliczają Amerykę,Beavis and Butt-Head Do America,"Beavis i Butt-Head wyruszają w podróż, aby znaleźć swój telewizor.",Komedia / Kryminał / Przygodowy / Animacja dla dorosłych
Własnym głosem,In a World...," Lake Bell&nbsp;(""Sex Story"") występuje w zabawnej i szczerej komedii ""Własnym głosem"", o instruktorce emisji głosu, która zmaga się z twardym współzawodnictwem w bezwzględnym... ",Komedia
Paintball,,"Pasjonaci mocnych wrażeń spotykają się w lesie na rundzie paintballa. Wbrew zasadom jeden z uczestników posiada ostrą amunicję, dzięki której chce wyeliminować konkurencję.",Thriller / Akcja
Była sobie dziewczynka,About a Girl," Charleen niedługo przed swoimi szesnastymi urodzinami jest jedną z tych nastolatek, które zdają się dźwigać problemy całego świata na własnych barkach. Być może to... ",Komedia
Schronienie,Safe," Carol White (Julianne Moore) wydaje się mieć wszystko - piękny dom, kochającego męża, pełne konto w banku. Jednak kobieta uważa, że jest poważnie chora uskarżając się na... ",Dramat / Thriller
Koniec miłości,The End of Love," Życie samotnego rodzica z dzieckiem nie jest łatwe. Na własnej skórze przekonuje się o tym aktor Mark (Mark Webber). Z trudem wiąże koniec z końcem, łącząc chodzenie na... ",Dramat
Producenci,The Producers," ""Producenci"" to musicalowa komedia autorstwa Mela Brooksa opowiadająca o perypetiach producenta teatralnego Maksa Bialystocka (Nathan Lane) oraz poborcy podatkowego Leo... ",Komedia / Musical
Szare ogrody,Grey Gardens," ""Szare ogrody"" to film dokumentalny, prezentujący codzienność dwóch przedstawicielek byłej elity społecznej, wiodących pustelnicze życie matki i córki o tym samym... ",Dokumentalny
3 serca,3 coeurs,"Marc zakochuje się w Sylvie, ale traci z nią kontakt. W międzyczasie poznaje Sophie, nie mając pojęcia, że znalazł jej siostrę. ",Dramat
Serce i dusze,Heart and Souls," Pewnej tragicznej nocy 1959 roku w wypadku autobusu zginęli wszyscy pasażerowie. Czterech z nich właśnie przechodziło najtrudniejszy okres w swoim życiu, borykali się z... ",Fantasy / Komedia
Trzy małpy,Üç maymun," Przejmująca historia kobiety i jej rodziny rozgrywająca się w sercu współczesnego Stambułu. Nagrodzony w Cannes, najnowszy film twórcy ""Klimatów"". Spokój pewnej rodziny... ",Dramat
Kanibal z Rotenburga,Rohtenburg, Filmowa historia Olivera Hartwina oparta została na prawdziwych losach człowieka skazanego za zabicie i zjedzenie mężczyzny. Młoda Amerykanka Katie Armstrong (Keri... ,Thriller
Schronienie,Le Refuge,"Po przedawkowaniu narkotyków Louis umiera, a jego dziewczyna, trafiwszy do szpitala, dowiaduje się, że jest w ciąży. Nie mogąc liczyć na pomoc rodziny, młoda kobieta wyjeżdża z Paryża, lecz wkrótce odnajduje ją Paul, brat nieboszczka.",Dramat
Podróż,The Trip," ""Podróż"" to bardzo kontrowersyjny film, który nie był pokazywany w kinach przez 35 lat. Jest to historia reżysera reklamówek Paula (Peter Fonda), przechodzącego właśnie... ",Dramat
Moxie,,"Nieśmiała 16-latka, zainspirowana buntowniczą przeszłością mamy i&nbsp;postawą nowej przyjaciółki, publikuje anonimowy zin na&nbsp;temat seksizmu panującego w&nbsp;jej szkole.",Dramat / Komedia
My Little Pony. Film,My Little Pony: The Movie,"Dzielne kucyki wyruszają w podróż, aby pokonać Króla Burzy i uratować swoje królestwo, Equestrię.",Animacja / Komedia / Przygodowy
Odgłosy robaków - zapiski mumii,The Sound of Insects – Record of a Mummy," Myśliwy polujący na króliki odkrywa w lesie zmumifikowane ciało 40-letniego mężczyzny. Lekarze twierdzą, że zgon nastąpił około stu dni wcześniej. Zmarły prowadził... ",Dokumentalny
Wampir,Vampyr - Der Traum des Allan Grey,"Przebywający w niewielkiej wsi David dowiaduje się, że właściciel starego zamku i jego córki są nękani przez tajemniczego wampira.",Horror
Nieprawi,Ilegitim,Czwórka rodzeństwa mierzy się z nieznanymi faktami dotyczącymi życia ich ojca w komunistycznej Rumunii. ,Dramat
Idol z ulicy,Ya Tayr El Tayer,"Mohammed Assaf zostaje uczestnikiem programu telewizyjnego ""Idol"". Postawa podążającego za marzeniami chłopca porusza serca pogrążonych w wojnie Palestyńczyków.",Biograficzny
Panna Meadows,Miss Meadows,"Nauczycielka szkoły podstawowej, z pozoru słodka i troskliwa, nocami wymierza sprawiedliwość, nie przebierając w środkach.",Dramat
Everly,,Ukrywająca się w swoim apartamencie kobieta stawia czoła licznej grupie morderców nasłanych przez jej byłego chłopaka - szefa mafii.,Akcja
Wędrówka na Zachód,Xi You,Rynkiem w Noailles oraz tętniącymi życiem ulicami Marsylii podąża medytujący buddyjski mnich. Z czasem dołącza do niego inny mężczyzna. ,Dokumentalny
Marmaduke - pies na fali,Marmaduke,Dog Marmaduke po przeprowadzce do Kaliforni stara się przypodobać miejscowym psom.&nbsp;,Familijny / Komedia
Gatunek 2,Species II,Podczas misji na Marsa DNA jednego z astronautów zostaje zainfekowane przez tajemniczą istotę.,Thriller / Sci-Fi
Służąca,La nana," Po 23 latach Raquel żyje wyobrażeniem, że jest nie tylko służącą, lecz pełnoprawnym członkiem rodziny Valdesów. Pewnego dnia pani domu postanawia zatrudnić drugą kobietę... ",Dramat obyczajowy
Dzień weselny,A Wedding," Wesele i ślub Dina Corelli z panną Brenner staje się dla Altmana wspaniałą okazją do wyśmiania amerykańskiego społeczeństwa. Altman wyśmiewa prawie wszystko, od sztucznej... ",Dramat / Komedia
Czarny Orfeusz,Orfeu Negro," Eurydyka przybywa z prowincji do Rio de Janeiro, gdzie właśnie trwa karnawał. By dostać się do swojej kuzynki, musi przejechać przez całe miasto tramwajem, w którym... ",Dramat / Komedia / Romans / Muzyczny
Na uwięzi,Kite,"Po brutalnym morderstwie rodziny Sawa zostaje przygarnięta przez kolegę ojca, który szkoli ją na zawodową zabójczynię. ",Akcja
"Zbrodniarz, który ukradł zbrodnię",,Emerytowany milicjant opowiada dziennikarzowi o podjętym przez siebie prywatnym śledztwie. ,Kryminał / Psychologiczny
Madryt 1987,Madrid 1987,"Sędziwy intelektualista i młoda pisarka zatrzaskują się w ciasnej łazience. On liczy na ostatni seks w życiu, ona chce mu przedstawić swoje literackie próby. ",Dramat
Kłamstewka,De vrais mensonges, Piękny wiosenny poranek. Urocza szefowa salonu fryzjerskiego Emilie (Audrey Tautou) dostaje anonimowy list miłosny. Dostrzega w nim sposób na uratowanie swojej matki... ,Dramat / Komedia / Romans
W bagnie Los Angeles,Devil in a Blue Dress,"Bezrobotny, ciemnoskóry weteran wojenny otrzymuje dobrze płatną, lecz podejrzaną propozycję odnalezienia białej kobiety. ",Kryminał
